Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00    48453     0.00     0.00  float* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, float>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, std::allocator<float>&)
  0.00      0.03     0.00    48453     0.00     0.00  float* std::copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.03     0.00    48445     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<float> >::_S_select_on_copy(std::allocator<float> const&)
  0.00      0.03     0.00    48445     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00      0.03     0.00    48445     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00      0.03     0.00    48445     0.00     0.00  std::allocator_traits<std::allocator<float> >::select_on_container_copy_construction(std::allocator<float> const&)
  0.00      0.03     0.00    48445     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&)
  0.00      0.03     0.00    47231     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.03     0.00    46778     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      0.03     0.00    46655     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.03     0.00    46655     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.03     0.00    46655     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      0.03     0.00    46655     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      0.03     0.00    46202     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00      0.03     0.00    46202     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00      0.03     0.00    46202     0.00     0.00  std::allocator_traits<std::allocator<float> >::deallocate(std::allocator<float>&, float*, unsigned long)
  0.00      0.03     0.00    46202     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00      0.03     0.00    28312     0.00     0.00  std::complex<double>::__rep() const
  0.00      0.03     0.00    26175     0.00     0.00  boost::math::tools::polynomial<double>::~polynomial()
  0.00      0.03     0.00    25953     0.00     0.00  boost::math::tools::polynomial<float>::~polynomial()
  0.00      0.03     0.00    25260     0.00     0.00  boost::math::tools::polynomial<double>::polynomial(boost::math::tools::polynomial<double> const&)
  0.00      0.03     0.00    25038     0.00     0.00  boost::math::tools::polynomial<float>::polynomial(boost::math::tools::polynomial<float> const&)
  0.00      0.03     0.00    24864     0.00     0.00  std::complex<double>& std::complex<double>::operator-=<double>(std::complex<double> const&)
  0.00      0.03     0.00    24864     0.00     0.00  std::complex<double> std::operator-<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      0.03     0.00    24568     0.00     0.00  std::complex<float>& std::complex<float>::operator-=<float>(std::complex<float> const&)
  0.00      0.03     0.00    24568     0.00     0.00  std::complex<float> std::operator-<float>(std::complex<float> const&, std::complex<float> const&)
  0.00      0.03     0.00    24168     0.00     0.00  boost::math::tools::polynomial<double>::data()
  0.00      0.03     0.00    23983     0.00     0.00  boost::math::tools::polynomial<float>::data()
  0.00      0.03     0.00    22690     0.00     0.00  boost::math::tools::polynomial<double>::size() const
  0.00      0.03     0.00    22690     0.00     0.00  boost::math::tools::polynomial<float>::size() const
  0.00      0.03     0.00    22640     0.00     0.00  std::__complex_abs(doublecomplex )
  0.00      0.03     0.00    22640     0.00     0.00  double std::abs<double>(std::complex<double> const&)
  0.00      0.03     0.00    22492     0.00     0.00  std::__complex_abs(floatcomplex )
  0.00      0.03     0.00    22492     0.00     0.00  float std::abs<float>(std::complex<float> const&)
  0.00      0.03     0.00    20728     0.00     0.00  Laguerre<double>::EvaluateComplex(boost::math::tools::polynomial<double>*, std::complex<double>)
  0.00      0.03     0.00    20728     0.00     0.00  Laguerre<float>::EvaluateComplex(boost::math::tools::polynomial<float>*, std::complex<float>)
  0.00      0.03     0.00    10420     0.00     0.00  std::complex<double> Muller<double>::ElevateComplex<double>(std::complex<double>, int)
  0.00      0.03     0.00     9610     0.00     0.00  std::complex<float> Muller<float>::ElevateComplex<float>(std::complex<float>, int)
  0.00      0.03     0.00     7311     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.03     0.00     7304     0.00     0.00  std::complex<double>& std::complex<double>::operator/=<double>(std::complex<double> const&)
  0.00      0.03     0.00     7304     0.00     0.00  std::complex<double> std::operator/<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      0.03     0.00     7156     0.00     0.00  std::complex<float>& std::complex<float>::operator/=<float>(std::complex<float> const&)
  0.00      0.03     0.00     7156     0.00     0.00  std::complex<float> std::operator/<float>(std::complex<float> const&, std::complex<float> const&)
  0.00      0.03     0.00     7110     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.03     0.00     6344     0.00     0.00  std::abs(double)
  0.00      0.03     0.00     6270     0.00     0.00  std::abs(float)
  0.00      0.03     0.00     6210     0.00     0.00  std::iterator<std::random_access_iterator_tag, float, long, float*, float&>::iterator()
  0.00      0.03     0.00     6194     0.00     0.00  std::iterator<std::random_access_iterator_tag, double, long, double*, double&>::iterator()
  0.00      0.03     0.00     5774     0.00     0.00  std::numeric_limits<double>::epsilon()
  0.00      0.03     0.00     5737     0.00     0.00  std::numeric_limits<float>::epsilon()
  0.00      0.03     0.00     5672     0.00     0.00  std::complex<double>::complex(doublecomplex )
  0.00      0.03     0.00     5672     0.00     0.00  std::__complex_sqrt(doublecomplex )
  0.00      0.03     0.00     5672     0.00     0.00  std::complex<double> std::sqrt<double>(std::complex<double> const&)
  0.00      0.03     0.00     5635     0.00     0.00  std::complex<float>::complex(floatcomplex )
  0.00      0.03     0.00     5635     0.00     0.00  std::__complex_sqrt(floatcomplex )
  0.00      0.03     0.00     5635     0.00     0.00  std::complex<float> std::sqrt<float>(std::complex<float> const&)
  0.00      0.03     0.00     5184     0.00     0.00  std::remove_reference<double*&>::type&& std::move<double*&>(double*&)
  0.00      0.03     0.00     5184     0.00     0.00  std::remove_reference<float*&>::type&& std::move<float*&>(float*&)
  0.00      0.03     0.00     5128     0.00     0.00  Laguerre<double>::getVariable(std::complex<double>, std::complex<double>, std::complex<double>, std::complex<double>)
  0.00      0.03     0.00     5128     0.00     0.00  Laguerre<double>::operatorS(std::complex<double>, boost::math::tools::polynomial<double>*, std::complex<double>)
  0.00      0.03     0.00     5128     0.00     0.00  Laguerre<float>::getVariable(std::complex<float>, std::complex<float>, std::complex<float>, std::complex<float>)
  0.00      0.03     0.00     5128     0.00     0.00  Laguerre<float>::operatorS(std::complex<float>, boost::math::tools::polynomial<float>*, std::complex<float>)
  0.00      0.03     0.00     5063     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
